epsilon,sample_index,delta_change_deg,J_change,unphysical
0.0001,95,9.995158238140789e-05,1.6463149338230565e-07,True
0.0001,96,1.793369470703965e-06,2.3673419952824348e-07,True
0.0001,97,0.00035166778250683706,2.8888275408964215e-07,True
0.0001,98,-1.780930540817849e-05,-2.3269640288259286e-07,True
0.0001,99,-2.631765623206661e-05,-1.60332434426258e-07,True
0.0001,100,8.207072016830352e-05,4.253807433379775e-08,True
0.0001,101,3.8729738349729814e-05,1.6815234130454493e-07,True
0.0001,102,-5.8673045064239204e-05,-2.5941264945178455e-07,True
0.0001,103,-0.0001457548655849905,2.8506900316867256e-07,True
0.0001,104,0.00016459421938108676,-2.68454315235922e-08,True
0.0001,105,-0.00020355125109361438,-3.2407408290593964e-07,True
0.0001,106,0.00014732441687925757,3.326968664243979e-07,True
0.0001,107,-0.00023029480450631468,-1.4824928467119247e-07,True
0.0001,108,7.522103329549168e-05,-5.394711519862705e-08,True
0.0001,109,-3.173632028108386e-05,2.658944069436342e-08,True
0.0001,110,0.00014816982623955255,2.219076355065852e-07,True
0.0001,111,1.0120980849848138e-05,-1.5357527125003934e-09,True
0.0001,112,5.859988143086525e-05,4.3170388776617163e-07,True
0.0001,113,0.0002661462354112132,3.2347083735000115e-07,True
0.0001,114,0.0004545202706722762,5.640124347769393e-07,True
0.0001,115,-4.8649325655958364e-05,-1.812132282372897e-07,True
0.0001,116,-0.00021337722465020192,7.371629255625844e-08,True
0.0001,117,6.244509891217831e-05,1.6543428617982192e-07,True
0.0001,118,0.00011471568820198286,2.2215031296457521e-07,True
0.0001,119,8.89296155399677e-05,-1.425050590933563e-07,True
0.0001,120,-0.00019668810988804353,-1.3433793824048357e-07,True
0.0001,121,0.00021206539692286697,-1.5413145597852063e-07,True
0.0001,122,-0.00013045318277349338,-1.7794228331785567e-07,True
0.0001,123,-0.00013270859923153466,-1.5638765560321843e-09,True
0.0001,124,-0.00015283659417164586,-2.1756363582231542e-07,True
0.0001,125,0.00014313154529332905,3.0830222415637043e-07,True
0.0001,126,0.00014064453752737904,4.0349586272539484e-07,True
0.0001,127,0.00039519350999484004,5.892063070622039e-07,True
0.0001,128,-0.00012394767774992488,-1.1235890248414981e-07,True
0.0001,129,0.00013631199759700507,4.73725127783306e-07,True
0.0001,130,-3.5814070194817305e-05,1.5197710486955507e-07,True
0.0001,131,-0.00026671263139022017,-5.263064226899983e-07,True
0.0001,132,-0.00018455461065869372,-2.856262091999878e-07,True
0.0001,133,0.0002593074255621275,9.217923704375741e-08,True
0.0001,134,3.118170408811238e-05,1.2713611111624112e-07,True
0.0001,135,0.00016376380517613143,-1.837580027377883e-08,True
0.0001,136,-7.353673732168886e-05,-7.637846643863966e-08,True
0.0001,137,-7.750204301970598e-05,-1.0444963692221587e-07,True
0.0001,138,0.00018100338444781983,1.9854868194696396e-07,True
0.0001,139,-0.00026844117937230294,-5.025814041482307e-07,True
0.0001,140,-7.481425129185482e-05,-4.7499830676395183e-07,True
0.0001,141,0.00036529986104127943,4.760095007397269e-07,True
0.0001,142,-0.00016295767808571782,-3.058229104818677e-07,True
